"Data","Q Negs","Q Títs","Volume$","Fechamento","Abertura","Mínimo","Máximo","Médio"
"30/10/2006",1,17390,8695,"0,18516216855","0,18516216855","0,18516216855","0,18516216855","0,18516216855"
"06/11/2006",4,52705,"25358,42","0,17775568181","0,18516216855","0,17775568181","0,18516216855","0,17775568181"
"13/11/2006",2,14258,"6843,84","0,17775568181","0,17775568181","0,17775568181","0,17775568181","0,17775568181"
"24/11/2006",4,19165,"9199,2","0,17864892644","0,17864892644","0,17864892644","0,17864892644","0,17864892644"
"13/12/2006",2,19990,"9795,1","0,18237077907","0,18237077907","0,18237077907","0,18237077907","0,18237077907"
"14/12/2006",3,27938,13969,"0,18609263171","0,18609263171","0,18609263171","0,18609263171","0,18609263171"
"15/12/2006",5,35726,"17554,22","0,17644449648","0,18770691114","0,17644449648","0,18770691114","0,18395277292"
"19/12/2006",1,5742,2871,"0,18770691114","0,18770691114","0,18770691114","0,18770691114","0,18770691114"
"08/01/2007",3,35941,"18329,91","0,19146104937","0,19146104937","0,19146104937","0,19146104937","0,19146104937"
"09/01/2007",2,246,"125,46","0,19146104937","0,19146104937","0,19146104937","0,19146104937","0,19146104937"
"17/01/2007",1,100,60,"0,22649177764","0,22649177764","0,22649177764","0,22649177764","0,22649177764"
"18/01/2007",1,3965,"2022,15","0,192518011","0,192518011","0,192518011","0,192518011","0,192518011"
"19/01/2007",1,1,"0,5","0,18874314804","0,18874314804","0,18874314804","0,18874314804","0,18874314804"
"22/01/2007",2,17477,"8563,73","0,18496828508","0,18496828508","0,18496828508","0,18496828508","0,18496828508"
"24/01/2007",1,10000,5000,"0,18874314804","0,18874314804","0,18874314804","0,18874314804","0,18874314804"
"26/01/2007",3,30704,"15659,04","0,192518011","0,192518011","0,192518011","0,192518011","0,192518011"
"01/02/2007",1,40000,20400,"0,192518011","0,192518011","0,192518011","0,192518011","0,192518011"
"02/02/2007",4,65409,"33358,59","0,192518011","0,192518011","0,192518011","0,192518011","0,192518011"
"05/02/2007",4,29602,"14444,98","0,18496828508","0,18496828508","0,18119342211","0,18496828508","0,18496828508"
"06/02/2007",1,19165,"9390,85","0,18496828508","0,18496828508","0,18496828508","0,18496828508","0,18496828508"
"08/02/2007",1,4000,1960,"0,18496828508","0,18496828508","0,18496828508","0,18496828508","0,18496828508"
"09/02/2007",1,2041,"1000,09","0,18496828508","0,18496828508","0,18496828508","0,18496828508","0,18496828508"
